"Keszitette","Helyszin","Datum","Felvetel.kezdete","Felvetel.tartalma","Mennyi","Felvetel.vege","Start","Stop","Felvetel.tartalma2","Felvetel.tartalma3","ErkIdo","TavIdo","Tart","abs.time","Datetime.kezdete","Datetime.vege"
"R1","Site_3",2016-05-03,"5:06:26","Capreolus capreolus",3,"5:16:59",2016-04-14,2016-05-11,"Capreolus capreolus","nagyvad",18386,19019,633,42181586,2016-05-03 05:06:26,2016-05-03 05:16:59
"R1","Site_3",2016-05-03,"9:05:42","MV",1,"9:05:53",2016-04-14,2016-05-11,"emberi zavarás","emberi zavarás",32742,32753,11,42195942,2016-05-03 09:05:42,2016-05-03 09:05:53
"R1","Site_3",2016-05-03,"21:02:26","Canis lupus",1,"21:02:43",2016-04-14,2016-05-11,"Canis lupus","Canis lupus",75746,75763,17,42238946,2016-05-03 21:02:26,2016-05-03 21:02:43
"R1","Site_3",2016-05-04,"20:04:20","Canis lupus",1,"20:04:39",2016-04-14,2016-05-11,"Canis lupus","Canis lupus",72260,72279,19,42321860,2016-05-04 20:04:20,2016-05-04 20:04:39
"R1","Site_3",2016-05-06,"4:46:37","Capreolus capreolus",1,"4:46:56",2016-04-14,2016-05-11,"Capreolus capreolus","nagyvad",17197,17216,19,42439597,2016-05-06 04:46:37,2016-05-06 04:46:56
"R1","Site_3",2016-05-06,"10:04:22","MV",1,"10:04:34",2016-04-14,2016-05-11,"emberi zavarás","emberi zavarás",36262,36274,12,42458662,2016-05-06 10:04:22,2016-05-06 10:04:34
"R1","Site_3",2016-05-06,"15:09:20","rider",1,"15:09:31",2016-04-14,2016-05-11,"bicikli/lovas","bicikli/lovas",54560,54571,11,42476960,2016-05-06 15:09:20,2016-05-06 15:09:31
"R1","Site_3",2016-05-07,"12:30:32","hiker",2,"12:32:16",2016-04-14,2016-05-11,"emberi zavarás","emberi zavarás",45032,45136,104,42553832,2016-05-07 12:30:32,2016-05-07 12:32:16
"R1","Site_3",2016-05-08,"4:17:32","Cervus elaphus",1,"4:18:44",2016-04-14,2016-05-11,"Cervus elaphus","nagyvad",15452,15524,72,42610652,2016-05-08 04:17:32,2016-05-08 04:18:44
"R1","Site_3",2016-05-08,"17:00:58","Cervus elaphus",2,"17:12:59",2016-04-14,2016-05-11,"Cervus elaphus","nagyvad",61258,61979,721,42656458,2016-05-08 17:00:58,2016-05-08 17:12:59
"R1","Site_3",2016-05-08,"21:54:16","Cervus elaphus",3,"21:54:40",2016-04-14,2016-05-11,"Cervus elaphus","nagyvad",78856,78880,24,42674056,2016-05-08 21:54:16,2016-05-08 21:54:40
"R1","Site_3",2016-05-09,"2:00:20","Cervus elaphus",1,"2:00:38",2016-04-14,2016-05-11,"Cervus elaphus","nagyvad",7220,7238,18,42688820,2016-05-09 02:00:20,2016-05-09 02:00:38
"R1","Site_3",2016-05-09,"18:53:52","Capreolus capreolus",1,"18:55:37",2016-04-14,2016-05-11,"Capreolus capreolus","nagyvad",68032,68137,105,42749632,2016-05-09 18:53:52,2016-05-09 18:55:37
"R1","Site_3",2016-05-12,"8:26:15","MV",1,"8:26:24",2016-05-11,2016-05-28,"emberi zavarás","emberi zavarás",30375,30384,9,42971175,2016-05-12 08:26:15,2016-05-12 08:26:24
"R1","Site_3",2016-05-13,"16:59:55","Cervus elaphus",1,"17:00:01",2016-05-11,2016-05-28,"Cervus elaphus","nagyvad",61195,61201,6,43088395,2016-05-13 16:59:55,2016-05-13 17:00:01
"R1","Site_3",2016-05-13,"18:17:26","Cervus elaphus",1,"18:18:32",2016-05-11,2016-05-28,"Cervus elaphus","nagyvad",65846,65912,66,43093046,2016-05-13 18:17:26,2016-05-13 18:18:32
"R1","Site_3",2016-05-14,"3:46:52","Cervus elaphus",2,"4:36:49",2016-05-11,2016-05-28,"Cervus elaphus","nagyvad",13612,16609,2997,43127212,2016-05-14 03:46:52,2016-05-14 04:36:49
"R1","Site_3",2016-05-14,"6:47:46","Cervus elaphus",1,"6:48:50",2016-05-11,2016-05-28,"Cervus elaphus","nagyvad",24466,24530,64,43138066,2016-05-14 06:47:46,2016-05-14 06:48:50
"R1","Site_3",2016-05-14,"18:59:55","Cervus elaphus",1,"19:00:16",2016-05-11,2016-05-28,"Cervus elaphus","nagyvad",68395,68416,21,43181995,2016-05-14 18:59:55,2016-05-14 19:00:16
"R1","Site_3",2016-05-15,"12:00:48","Capreolus capreolus",1,"12:00:59",2016-05-11,2016-05-28,"Capreolus capreolus","nagyvad",43248,43259,11,43243248,2016-05-15 12:00:48,2016-05-15 12:00:59
"R1","Site_3",2016-05-15,"18:41:38","Cervus elaphus",1,"18:41:45",2016-05-11,2016-05-28,"Cervus elaphus","nagyvad",67298,67305,7,43267298,2016-05-15 18:41:38,2016-05-15 18:41:45
"R1","Site_3",2016-05-16,"3:06:39","Cervus elaphus",3,"4:04:08",2016-05-11,2016-05-28,"Cervus elaphus","nagyvad",11199,14648,3449,43297599,2016-05-16 03:06:39,2016-05-16 04:04:08
"R1","Site_3",2016-05-16,"15:33:47","hiker",1,"15:33:58",2016-05-11,2016-05-28,"emberi zavarás","emberi zavarás",56027,56038,11,43342427,2016-05-16 15:33:47,2016-05-16 15:33:58
"R1","Site_3",2016-05-16,"22:01:10","Cervus elaphus",2,"22:33:16",2016-05-11,2016-05-28,"Cervus elaphus","nagyvad",79270,81196,1926,43365670,2016-05-16 22:01:10,2016-05-16 22:33:16
"R1","Site_3",2016-05-17,"2:40:07","Cervus elaphus",1,"2:42:51",2016-05-11,2016-05-28,"Cervus elaphus","nagyvad",9607,9771,164,43382407,2016-05-17 02:40:07,2016-05-17 02:42:51
"R1","Site_3",2016-05-17,"14:11:46","hiker",2,"14:12:00",2016-05-11,2016-05-28,"emberi zavarás","emberi zavarás",51106,51120,14,43423906,2016-05-17 14:11:46,2016-05-17 14:12:00
